first_pay,period,cohort,percentage
2023-01-01,0,15,1.0
2023-01-01,1,7,0.47
2023-01-01,2,9,0.6
2023-01-01,3,6,0.4
2023-01-01,4,9,0.6
2023-01-01,5,8,0.53
2023-01-01,6,7,0.47
2023-01-01,7,9,0.6
2023-02-01,0,25,1.0
2023-02-01,1,13,0.52
2023-02-01,2,15,0.6
2023-02-01,3,15,0.6
2023-02-01,4,15,0.6
2023-02-01,5,14,0.56
2023-02-01,6,7,0.28
2023-03-01,0,62,1.0
2023-03-01,1,35,0.56
2023-03-01,2,37,0.6
2023-03-01,3,39,0.63
2023-03-01,4,34,0.55
2023-03-01,5,27,0.44
2023-04-01,0,42,1.0
2023-04-01,1,31,0.74
2023-04-01,2,28,0.67
2023-04-01,3,28,0.67
2023-04-01,4,22,0.52
2023-05-01,0,34,1.0
2023-05-01,1,23,0.68
2023-05-01,2,18,0.53
2023-05-01,3,18,0.53
2023-06-01,0,45,1.0
2023-06-01,1,32,0.71
2023-06-01,2,32,0.71
2023-07-01,0,53,1.0
2023-07-01,1,23,0.43
2023-08-01,0,35,1.0